Profienency_Nbr,Proficiency_Desc
1,AC High Voltage Test Set PM / CM
2,Aerial lift Use
3,AGS PM / CM
4,Asbestos abatement
5,Barksdale PM / CM
6,Battery Corrective Maintenance
62,Battery PM
7,Cadwelds
8,Capbank Repairs
9,Circuit Switcher Replacement
10,Compressor PM / CM
11,Confined Space Entry
12,Confined Space Supervisor
61,Crane Operator
13,CS PM / CM
14,DC High Voltage Test Set PM / CM
15,Diesel Generator PM / CM
16,Disconnect and Ground Switch Adj/Repairs
17,Distribution Breaker CM
18,Distribution Breaker PM
19,Electrical Conduit /Wiring Installation
20,Electrical Troubleshooting
58,Engineering Inspector
21,Fire Watch
22,Forklift operator
23,Gas Calls (any equipment)
59,General Tasks - Non Permit Holder
57,General Tasks - Permit Holder
24,Hotspots Inspections
25,HVAC Maintenance
26,Installing / troubleshooting RMS coils
27,Kelman installation
28,Kemper Roof Installations
29,Low Voltage Test Set CM
30,LTC PM / CM
31,Mechanical Deluge Repair
32,Overheard Crane Training
33,Pump House Ladder Calibration
34,Pump House PLC troubleshooting & Repairs
35,Pump House Pump Replacement 
36,PURs Pump VFD Replacement
37,PURs Pump/Motor Replacement
38,PURs/CP Pump/Motor Alignment
39,Repair high voltage test leads/portable grounds
40,Rigging
60,Scaffolding
41,Sesco oil processing truck operator
42,Sesco oil processing truck repair
43,SF6 gas cart use
44,Swagelok tubing
45,Tapguard 260/TM 100 troubleshooting
46,Transformer Bushing Replacement
47,Transformer Fan replacement
48,Transformer Pump replacement
49,Transformer Replacement
50,Transformer Vacuum pump operator
51,Transmission Breaker CM
52,Transmission Breaker PM
53,Troubleshoot DC Grounds
54,Vacuum pump repair
55,Welder
56,Working in a PURs facility w/ out an operator
